"Horodateur","Où es-tu allé ?","Comment évalues-tu le lieu d'un point de vue géologique sur 10 ?","Quel instrument as-tu le plus utilisé ?","A quel heure en moyenne t'es tu levé ?","La qualité des repas sur 10","Quel est ton âge géologique préféré ?","As-tu trouvé un fossile ?","Comment as-tu participé au rap de géol ?","Ton impression sur la semaine"
"2023/10/02 11:46:21 PM UTC+3","La mûre","8","Le marteau","07:00","10","Quaternaire","non","Ecriture du texte;Chanteur;Caméraman;Je tourne dans le clip;Monteur","La mure meilleure geol, 0 débat"
"2023/10/02 11:46:42 PM UTC+3","Digne (les best)","9","La carte","07:15","7","Primaire","oui","Choix de la musique d'origine","C'était sympa!"
"2023/10/02 11:54:41 PM UTC+3","La mûre","10","La carte","07:00","10","Tertiaire","non","Ecriture du texte;Chanteur;Réalisateur du clip;Je tourne dans le clip","En vrai c'était cool,, il y avait une bête de team"
"2023/10/02 11:58:38 PM UTC+3","Laragne","10","Le marteau","07:00","10","Primaire","oui","Choix de la musique d'origine;Ecriture du texte;Chanteur;Réalisateur du clip;Caméraman;Je tourne dans le clip;Caddie driver;Monteur","Incroyable (Laragne c'était vraiment fou)"
"2023/10/02 11:59:08 PM UTC+3","Laragne","10","L'acide","07:30","10","Secondaire","non","Caméraman;Je tourne dans le clip;Caddie driver;Monteur","C'était vraiment fou !"
"2023/10/02 11:59:40 PM UTC+3","Laragne","10","La trousse de secours","07:15","10","Primaire","oui","Choix de la musique d'origine;Ecriture du texte;Chanteur;Réalisateur du clip","Incroyable ! Btw Henri best chauffeur "
"2023/10/03 12:00:08 AM UTC+3","Laragne","9","La loupe","07:45","10","Tertiaire","oui","Réalisateur du clip","Genialissime"
"2023/10/03 12:00:18 AM UTC+3","La mûre","4","Le marteau","06:45","9","Tertiaire","non","Ecriture du texte;Je tourne dans le clip","Gabriel best encadrant "
"2023/10/03 12:00:27 AM UTC+3","BP","6","La carte","07:30","7","Tertiaire","oui","Choix de la musique d'origine;Je tourne dans le clip",""
"2023/10/03 12:04:46 AM UTC+3","BP","10","Le marteau","08:00","5","Tertiaire","oui","Je tourne dans le clip","toboggan "
"2023/10/03 12:10:06 AM UTC+3","Pyrénées","9","La loupe","07:30","7","Tertiaire","oui","Ecriture du texte;Chanteur;Je tourne dans le clip","Les animateurs étaient vraiment cools, très bonne semaine"
"2023/10/03 12:17:34 AM UTC+3","Pyrénées","10","La loupe","07:50","5","Tertiaire","oui","Choix de la musique d'origine;Ecriture du texte;Chanteur;Réalisateur du clip;Je tourne dans le clip","Trop bieeeen"
"2023/10/03 12:28:51 AM UTC+3","La mûre","10","L'acide","06:45","10","Quaternaire","non","Caméraman;Je tourne dans le clip","Incroyable "
"2023/10/03 12:30:57 AM UTC+3","Laragne","10","Le marteau","07:30","7","Tertiaire","oui","Ecriture du texte;Caméraman;Je tourne dans le clip;Monteur","La coinche c'est bien "
"2023/10/03 12:43:38 AM UTC+3","Pyrénées","10","La loupe","07:15","5","Tertiaire","oui","Je tourne dans le clip","Il faudrait vraiment absolument faire remonter qu'il faut des plans toilettes existants, quand tu es une fille avec tes règles c'est galère comme jamais!"
"2023/10/03 12:46:56 AM UTC+3","La mûre","8","Le marteau","07:00","7","Secondaire","non","Réalisateur du clip;Caméraman;Je tourne dans le clip","Aucune pause toilette de la journée, invivable pour une fille qui a ses règles"
"2023/10/03 12:47:08 AM UTC+3","La mûre","10","Le marteau","07:00","10","Quaternaire","non","Choix de la musique d'origine;Ecriture du texte;Chanteur;Réalisateur du clip;Je tourne dans le clip","Cooolllllll un peu fatigant"
"2023/10/03 1:11:54 AM UTC+3","Pyrénées","10","Le marteau","08:00","6","Primaire","oui","Caméraman","Ct la meilleure de toute voila seum aux autres…"
"2023/10/03 1:22:40 AM UTC+3","La mûre","10","Le marteau","07:15","10","Tertiaire","non","Caméraman;Je tourne dans le clip","Une dinguerie d'être en petit groupe de 30"
"2023/10/03 1:57:50 AM UTC+3","BP","7","Le marteau","08:10","6","Primaire","oui","Je tourne dans le clip","Les profs sont super cool "
"2023/10/03 8:56:26 AM UTC+3","Laragne","7","Le marteau","07:00","8","Primaire","oui","Je tourne dans le clip",""
"2023/10/03 9:10:27 AM UTC+3","Laragne","10","La boussole","07:00","10","Quaternaire","non","Caméraman;Je tourne dans le clip","Très cool"
"2023/10/03 10:03:38 AM UTC+3","Laragne","6","L'acide","07:20","7","Tertiaire","oui","Caméraman",""
"2023/10/03 10:28:25 AM UTC+3","BP","6","La carte","07:20","8","Tertiaire","oui","Choix de la musique d'origine;Ecriture du texte","AHHHHHHHHHHH!!!!!!!!"
"2023/10/03 12:52:15 PM UTC+3","Pyrénées","10","Le marteau","08:00","8","Tertiaire","oui","Choix de la musique d'origine;Ecriture du texte;Réalisateur du clip;Caméraman;Je tourne dans le clip;Monteur","banger"
"2023/10/03 2:03:42 PM UTC+3","BP","8","Le marteau","07:45","7","Tertiaire","oui","Choix de la musique d'origine;Ecriture du texte;Réalisateur du clip;Caméraman","Y’avait pas de toilettes :("
"2023/10/03 6:21:10 PM UTC+3","Digne (les best)","10","L'acide","07:10","7","Tertiaire","oui","Chanteur;Je tourne dans le clip","Apaisant, amusant, raffraichissant"
"2023/10/04 3:31:20 AM UTC+3","Laragne","6","Le marteau","07:05","9","Tertiaire","oui","Choix de la musique d'origine;Ecriture du texte;Chanteur;Réalisateur du clip;Caméraman;Je tourne dans le clip;Caddie driver;Monteur","J'ai pas kiffé fort et pour deux raisons principales. 1) Le groupe était très sympa mais c'était pas trop mon délire. 2) Les profs. Je suis déçu parce que j'avais plein d'attente sur cette semaine géologie. Au final, j'ai pas l'impression d'avoir appris grand chose. Parfois on posait une question aux accompagnateurs et ils refusaient de répondre sous prétexte que c'était trop compliqué pour nous. Bref je suis bien content de revenir à la meuh et de reprendre les amphis. La géol, partout oui mais Laragne non. (ah oui et aussi LE site (il y a un seul site) est à 1h15 de bus du gite. c'est pas fou pour une semaine qui est censé nous montrer les enjeux écologiques...)"
"2023/10/05 1:02:36 PM UTC+3","Pyrénées","9","La loupe","07:30","4","Tertiaire","oui","Choix de la musique d'origine;Chanteur","la bouffe en espagne m’a traumatisé "
"2023/10/06 12:31:40 AM UTC+3","Laragne","8","L'acide","07:00","7","Tertiaire","oui","Je tourne dans le clip",""
